time,DHT 1_temp,DHT 1_hum,DHT 2_temp,DHT 2_hum,LUX 1_lux
2025-07-30 18:24:49,26.6,72.0,28.8,68.6,583.9
2025-07-31 00:13:56,24.5,59.5,24.7,53.9,0.3
2025-07-31 00:14:29,24.6,59.7,24.7,54.2,0.5
2025-07-31 00:14:47,24.6,58.8,24.7,54.1,0.5
2025-07-31 00:15:01,24.5,58.0,24.7,53.8,0.5
2025-07-31 00:15:20,24.5,56.9,24.7,53.7,0.3
2025-07-31 00:15:44,24.6,56.9,24.7,53.6,0.3
2025-07-31 00:15:56,24.5,56.2,24.7,53.6,0.3
2025-07-31 00:59:10,24.4,61.1,24.7,53.6,0.5
2025-07-31 01:00:14,24.5,61.1,24.7,54.4,0.5
2025-07-31 01:02:11,24.4,61.6,24.7,54.1,0.2
2025-07-31 01:03:56,24.4,62.2,24.6,58.4,0.2
2025-07-31 01:05:53,24.3,71.7,24.6,63.3,0.3
2025-07-31 01:07:45,24.2,75.9,24.6,70.5,0.3
2025-07-31 01:09:37,24.2,75.0,24.6,72.0,0.3
2025-07-31 01:11:29,24.1,82.6,24.5,77.7,0.3
2025-07-31 01:13:24,24.1,85.3,24.5,81.0,0.2
2025-07-31 01:14:26,24.2,84.1,24.5,81.9,0.2
2025-07-31 01:15:29,24.2,83.5,24.5,81.3,0.2
2025-07-31 01:16:31,24.2,83.5,24.6,80.9,0.2
2025-07-31 01:17:32,24.3,83.7,24.6,80.5,0.3
2025-07-31 01:18:33,24.3,83.7,24.6,80.3,0.3
2025-07-31 01:19:36,24.4,83.7,24.6,80.0,0.3
2025-07-31 01:20:38,24.4,83.5,24.6,79.8,0.2
2025-07-31 01:21:39,24.4,83.4,24.6,79.6,0.3
2025-07-31 01:22:40,24.4,83.2,24.6,79.3,0.3
2025-07-31 01:23:46,24.4,83.0,24.6,79.2,0.3
2025-07-31 01:26:07,24.4,82.5,24.7,78.9,0.2
2025-07-31 01:27:30,24.5,82.3,24.6,78.9,0.2
2025-07-31 01:28:34,24.4,61.8,24.6,78.6,0.3
2025-07-31 01:29:48,24.4,64.3,24.6,61.4,0.3
2025-07-31 01:31:25,24.3,68.4,24.6,62.2,0.2
2025-07-31 01:33:15,24.3,71.5,24.5,68.4,0.2
2025-07-31 01:35:07,24.3,74.6,24.5,69.4,0.2
2025-07-31 01:36:49,24.3,74.5,24.5,72.3,0.2
2025-07-31 01:37:51,24.3,77.0,24.5,74.9,0.3
2025-07-31 01:38:54,24.3,77.8,24.6,74.6,0.2
2025-07-31 01:39:55,24.4,78.5,24.6,74.4,0.3
2025-07-31 01:40:59,24.4,78.8,24.6,74.3,0.3
2025-07-31 01:42:01,24.4,77.2,24.6,75.1,0.3
2025-07-31 01:43:02,24.4,77.3,24.6,75.1,0.2
2025-07-31 01:44:03,24.4,78.1,24.6,74.8,0.3
2025-07-31 01:45:04,24.4,78.5,24.6,74.5,0.3
2025-07-31 01:46:05,24.4,78.7,24.6,74.4,0.3
2025-07-31 01:47:06,24.4,78.9,24.6,74.3,0.3
2025-07-31 01:48:08,24.5,79.1,24.6,74.3,0.2
2025-07-31 01:49:09,24.5,79.1,24.6,74.4,0.3
2025-07-31 01:50:12,24.5,79.0,24.6,74.4,0.2
2025-07-31 01:51:13,24.5,78.8,24.6,74.7,0.3
2025-07-31 01:52:17,24.5,78.7,24.6,74.9,0.3
2025-07-31 01:53:18,24.5,78.7,24.6,74.9,0.3
2025-07-31 01:54:19,24.5,78.7,24.6,75.1,0.3
2025-07-31 01:55:25,24.5,78.7,24.6,75.1,0.3
2025-07-31 01:56:29,24.5,78.6,24.7,75.1,0.3
2025-07-31 01:57:31,24.5,77.7,24.7,75.7,0.2
2025-07-31 01:58:32,24.5,77.8,24.6,75.7,0.2
2025-07-31 01:59:33,24.5,78.6,24.6,75.5,0.3
2025-07-31 02:00:37,24.5,79.1,24.6,75.2,0.2
2025-07-31 02:01:38,24.5,79.2,24.6,75.2,0.3
2025-07-31 02:02:39,24.5,79.3,24.6,75.1,0.3
2025-07-31 02:03:40,24.5,79.3,24.6,75.1,0.3
2025-07-31 02:04:41,24.5,79.1,24.6,75.2,0.2
2025-07-31 02:05:42,24.5,78.8,24.6,75.4,0.3
2025-07-31 02:06:44,24.5,78.6,24.6,75.5,0.2
2025-07-31 02:07:45,24.5,78.5,24.6,75.7,0.3
2025-07-31 02:08:48,24.5,78.3,24.6,75.8,0.2
2025-07-31 02:09:49,24.5,78.3,24.6,75.8,0.2
2025-07-31 02:10:51,24.5,78.3,24.6,75.9,0.2
2025-07-31 02:11:52,24.5,78.2,24.6,75.9,0.2
2025-07-31 02:12:54,24.5,77.9,24.6,76.4,0.3
2025-07-31 02:13:55,24.5,78.4,24.6,76.4,0.2
2025-07-31 02:14:56,24.5,79.0,24.6,76.4,0.3
2025-07-31 02:15:59,24.5,79.4,24.6,76.1,0.3
2025-07-31 02:17:01,24.5,79.6,24.6,76.0,0.3
2025-07-31 02:18:02,24.5,79.8,24.6,75.9,0.2
2025-07-31 02:19:03,24.5,79.9,24.6,75.9,0.2
2025-07-31 02:20:04,24.5,79.9,24.6,76.0,0.3
2025-07-31 02:21:05,24.5,79.9,24.6,76.2,0.2
2025-07-31 02:22:06,24.5,79.6,24.6,76.2,0.2
2025-07-31 02:23:07,24.5,79.3,24.6,76.4,0.3
2025-07-31 02:24:09,24.5,79.2,24.6,76.5,0.2
